timestamp,TP9,AF7,AF8,TP10
2024-06-05T16:29:45.275025,-26.85546875,-178.22265625,249.0234375,192.3828125,0.0
2024-06-05T16:29:45.278705,-844.7265625,-833.49609375,-1000.0,-1000.0,0.0
2024-06-05T16:29:45.282385,-96.19140625,126.46484375,-325.68359375,-273.4375,0.0
2024-06-05T16:29:45.286065,-1000.0,-1000.0,-877.9296875,-803.22265625,0.0
2024-06-05T16:29:45.289746,-227.5390625,-247.55859375,726.5625,330.56640625,0.0
2024-06-05T16:29:45.293426,-834.9609375,-822.75390625,-882.32421875,-1000.0,0.0
2024-06-05T16:29:45.297353,243.1640625,239.74609375,-825.68359375,-374.0234375,0.0
2024-06-05T16:29:45.301034,-1000.0,-1000.0,731.93359375,-909.1796875,0.0
2024-06-05T16:29:45.304716,-560.546875,-649.90234375,-850.5859375,815.4296875,0.0
2024-06-05T16:29:45.308397,-935.546875,996.09375,-153.3203125,-750.48828125,0.0
2024-06-05T16:29:45.312079,451.171875,632.32421875,-1000.0,-918.9453125,0.0
2024-06-05T16:29:45.315760,-1000.0,-918.45703125,75.68359375,615.234375,0.0
2024-06-05T16:29:45.319442,-1000.0,-1000.0,-761.71875,-820.80078125,0.0
2024-06-05T16:29:45.323123,462.40234375,172.36328125,193.359375,-40.52734375,0.0
2024-06-05T16:29:45.326804,938.96484375,-847.16796875,-1000.0,-1000.0,0.0
2024-06-05T16:29:45.330486,-580.078125,-216.796875,-276.3671875,-37.59765625,0.0
2024-06-05T16:29:45.334167,-1000.0,-1000.0,-809.5703125,-768.5546875,0.0
2024-06-05T16:29:45.337848,-209.47265625,-221.19140625,401.3671875,202.63671875,0.0
2024-06-05T16:29:45.341828,-847.16796875,-833.0078125,-1000.0,-1000.0,0.0
2024-06-05T16:29:45.345510,130.37109375,237.79296875,-473.6328125,-276.3671875,0.0
2024-06-05T16:29:45.349193,-1000.0,-1000.0,-958.984375,-813.4765625,0.0
2024-06-05T16:29:45.352876,-247.0703125,-366.2109375,885.7421875,446.2890625,0.0
2024-06-05T16:29:45.356559,-823.2421875,-846.19140625,-669.921875,-1000.0,0.0
2024-06-05T16:29:45.360242,239.2578125,329.58984375,-969.7265625,-514.6484375,0.0
2024-06-05T16:29:45.363924,-1000.0,-1000.0,562.5,989.2578125,0.0
2024-06-05T16:29:45.367607,-650.390625,-838.8671875,-812.5,992.67578125,0.0
2024-06-05T16:29:45.371290,-992.67578125,761.23046875,-38.57421875,-467.7734375,0.0
2024-06-05T16:29:45.374973,540.52734375,796.875,-1000.0,-1000.0,0.0
2024-06-05T16:29:45.378655,-966.796875,-759.27734375,-64.453125,379.39453125,0.0
2024-06-05T16:29:45.382338,-1000.0,-1000.0,-773.92578125,-780.2734375,0.0
2024-06-05T16:29:45.386360,127.9296875,20.01953125,206.0546875,71.77734375,0.0
2024-06-05T16:29:45.390044,-877.9296875,-830.56640625,-1000.0,-1000.0,0.0
2024-06-05T16:29:45.393729,-266.6015625,-77.63671875,-277.34375,-152.34375,0.0
2024-06-05T16:29:45.397413,-1000.0,-1000.0,-821.2890625,-780.76171875,0.0
2024-06-05T16:29:45.401097,-219.7265625,-230.46875,525.87890625,213.37890625,0.0
2024-06-05T16:29:45.404782,-835.44921875,-830.078125,-1000.0,-1000.0,0.0
2024-06-05T16:29:45.408466,237.79296875,241.2109375,-580.078125,-275.87890625,0.0
2024-06-05T16:29:45.412150,-1000.0,-1000.0,969.7265625,-834.47265625,0.0
2024-06-05T16:29:45.415834,-360.83984375,-482.91015625,999.51171875,613.76953125,0.0
2024-06-05T16:29:45.419519,-847.65625,-895.01953125,-469.7265625,-1000.0,0.0
2024-06-05T16:29:45.423203,233.88671875,438.4765625,-1000.0,-672.8515625,0.0
2024-06-05T16:29:45.426887,-1000.0,-1000.0,365.234375,890.13671875,0.0
2024-06-05T16:29:45.430944,-891.6015625,-1000.0,-781.25,-899.90234375,0.0
2024-06-05T16:29:45.434630,695.80078125,490.72265625,115.72265625,-263.18359375,0.0
2024-06-05T16:29:45.438316,714.35546875,951.66015625,-1000.0,-1000.0,0.0
2024-06-05T16:29:45.442001,-863.28125,-574.21875,-233.3984375,185.546875,0.0
2024-06-05T16:29:45.445687,-1000.0,-1000.0,-797.8515625,-760.7421875,0.0
2024-06-05T16:29:45.449373,10.25390625,-105.46875,223.14453125,185.546875,0.0
2024-06-05T16:29:45.453059,-837.40234375,-822.265625,-1000.0,-1000.0,0.0
2024-06-05T16:29:45.456745,-101.07421875,93.75,-273.92578125,-272.94921875,0.0
2024-06-05T16:29:45.460430,-1000.0,-1000.0,-834.47265625,-803.22265625,0.0
2024-06-05T16:29:45.464116,-228.02734375,-246.58203125,613.76953125,308.59375,0.0
2024-06-05T16:29:45.467802,-833.0078125,-823.2421875,-1000.0,-1000.0,0.0
2024-06-05T16:29:45.471488,241.69921875,240.234375,-670.8984375,-365.234375,0.0
2024-06-05T16:29:45.475573,-1000.0,-1000.0,888.18359375,-890.13671875,0.0
2024-06-05T16:29:45.479260,-502.9296875,-624.0234375,-898.4375,755.859375,0.0
2024-06-05T16:29:45.482948,-904.296875,-977.5390625,-231.93359375,-856.93359375,0.0
2024-06-05T16:29:45.486635,344.23828125,542.96875,-1000.0,-830.56640625,0.0
2024-06-05T16:29:45.490323,-1000.0,-978.515625,122.0703125,732.91015625,0.0
2024-06-05T16:29:45.494010,-1000.0,-1000.0,-763.671875,-850.5859375,0.0
2024-06-05T16:29:45.497698,454.1015625,232.421875,190.4296875,-153.3203125,0.0
2024-06-05T16:29:45.501385,948.2421875,-877.44140625,-1000.0,-1000.0,0.0
2024-06-05T16:29:45.505072,-587.40234375,-289.0625,-273.92578125,75.68359375,0.0
2024-06-05T16:29:45.508760,-1000.0,-1000.0,-803.22265625,-761.71875,0.0
2024-06-05T16:29:45.512447,-97.16796875,-219.7265625,331.0546875,193.359375,0.0
2024-06-05T16:29:45.516135,-833.49609375,-833.0078125,-1000.0,-1000.0,0.0
2024-06-05T16:29:45.521533,13.671875,235.3515625,-379.8828125,-277.34375,0.0
2024-06-05T16:29:45.525227,-1000.0,-1000.0,-891.11328125,-810.546875,0.0
2024-06-05T16:29:45.528921,-236.81640625,-314.453125,750.9765625,431.15234375,0.0
2024-06-05T16:29:45.532615,-830.56640625,-832.51953125,-840.8203125,-1000.0,0.0
2024-06-05T16:29:45.536309,241.69921875,236.81640625,-892.08984375,-481.93359375,0.0
2024-06-05T16:29:45.540003,-1000.0,-1000.0,640.13671875,-958.0078125,0.0
2024-06-05T16:29:45.543697,-650.390625,-784.1796875,-833.0078125,885.25390625,0.0
2024-06-05T16:29:45.547391,-995.1171875,834.9609375,-78.61328125,-670.41015625,0.0
2024-06-05T16:29:45.551085,547.8515625,706.0546875,-1000.0,-968.26171875,0.0
2024-06-05T16:29:45.554778,-978.515625,-867.67578125,-33.69140625,560.546875,0.0
2024-06-05T16:29:45.558472,-1000.0,-1000.0,-770.99609375,-811.5234375,0.0
2024-06-05T16:29:45.562166,253.41796875,115.234375,203.125,-17.08984375,0.0
2024-06-05T16:29:45.567436,-938.96484375,-827.1484375,-1000.0,-1000.0,0.0
2024-06-05T16:29:45.571136,-403.3203125,-125.9765625,-276.3671875,-87.40234375,0.0
2024-06-05T16:29:45.574836,-1000.0,-1000.0,-811.5234375,-776.3671875,0.0
2024-06-05T16:29:45.578535,-208.984375,-228.02734375,431.640625,208.0078125,0.0
2024-06-05T16:29:45.582235,-847.16796875,-831.54296875,-1000.0,-1000.0,0.0
2024-06-05T16:29:45.585934,136.71875,241.2109375,-497.0703125,-277.34375,0.0
2024-06-05T16:29:45.589634,-1000.0,-1000.0,-988.28125,-821.2890625,0.0
2024-06-05T16:29:45.593333,-346.19140625,-458.0078125,946.77734375,525.87890625,0.0
2024-06-05T16:29:45.597033,-856.4453125,-884.27734375,-538.57421875,-1000.0,0.0
2024-06-05T16:29:45.600733,246.58203125,373.53515625,-1000.0,-580.078125,0.0
2024-06-05T16:29:45.604432,-1000.0,-1000.0,403.80859375,970.21484375,0.0
2024-06-05T16:29:45.608132,-786.1328125,-911.1328125,-784.66796875,998.046875,0.0
2024-06-05T16:29:45.613285,845.21484375,635.7421875,71.77734375,-467.28515625,0.0
2024-06-05T16:29:45.616990,657.2265625,908.69140625,-1000.0,-1000.0,0.0
2024-06-05T16:29:45.620695,-917.96875,-629.39453125,-152.34375,343.75,0.0
2024-06-05T16:29:45.624399,-1000.0,-1000.0,-780.76171875,-777.34375,0.0
